시군구명,승용(관용),승용(자가용),승용(영업용),승용(관용+자가용+영업용),승합(관용),승합(자가용),승합(영업용),승합(관용+자가용+영업용),화물(관용),화물(자가용),화물(영업용),화물(관용+자가용+영업용),특수(관용),특수(자가용),특수(영업용),특수(관용+자가용+영업용),관용 자동차(승용+승합+화물+특수) 등록대수,자가용 자동차(승용+승합+화물+특수) 등록대수,영업용 자동차(승용+승합+화물+특수) 등록대수,총계
김포시,246,199640,2645,202531,116,5321,1525,6962,197,30869,4384,35450,8,657,691,1356,567,236487,9245,246299
화성시,391,433987,3212,437590,230,10573,2698,13501,289,62857,7714,70860,74,1574,647,2295,984,508991,14271,524246
광주시,183,168229,816,169228,98,5101,2570,7769,127,30678,5420,36225,13,639,361,1013,421,204647,9167,214235
양주시,173,105572,701,106446,93,3817,445,4355,158,19261,2958,22377,13,464,232,709,437,129114,4336,133887
포천시,181,65479,3764,69424,77,2878,774,3729,154,20849,2737,23740,12,333,384,729,424,89539,7659,97622
여주시,184,51988,357,52529,83,2074,678,2835,203,14095,6088,20386,9,275,353,637,479,68432,7476,76387
여주군,0,7,0,7,0,0,0,0,0,13,0,13,0,0,0,0,0,20,0,20
연천군,90,17570,89,17749,71,761,187,1019,156,6290,4417,10863,8,134,516,658,325,24755,5209,30289
가평군,151,24869,205,25225,87,1170,138,1395,167,6618,207,6992,20,126,45,191,425,32783,595,33803
양평군,241,51399,420,52060,101,1771,586,2458,260,12202,851,13313,11,264,88,363,613,65636,1945,68194
