시군구명,승용(관용),승용(자가용),승용(영업용),승용(관용+자가용+영업용),승합(관용),승합(자가용),승합(영업용),승합(관용+자가용+영업용),화물(관용),화물(자가용),화물(영업용),화물(관용+자가용+영업용),특수(관용),특수(자가용),특수(영업용),특수(관용+자가용+영업용),관용 자동차(승용+승합+화물+특수) 등록대수,자가용 자동차(승용+승합+화물+특수) 등록대수,영업용 자동차(승용+승합+화물+특수) 등록대수,총계
여주군,0,7,0,7,0,0,0,0,0,13,0,13,0,0,0,0,0,20,0,20
연천군,90,17500,89,17679,71,758,187,1016,156,6309,4447,10912,8,133,519,660,325,24700,5242,30267
가평군,152,24710,204,25066,87,1177,145,1409,167,6615,207,6989,20,123,45,188,426,32625,601,33652
양평군,240,51160,416,51816,100,1786,589,2475,255,12192,843,13290,11,261,88,360,606,65399,1936,67941
수원시 장안구,219,93985,942,95146,165,2816,594,3575,101,8259,2053,10413,14,202,123,339,499,105262,3712,109473
수원시 권선구,129,175176,4603,179908,162,4695,1479,6336,160,20337,3038,23535,23,521,574,1118,474,200729,9694,210897
수원시 팔달구,153,72844,1197,74194,91,2564,66,2721,96,6735,1812,8643,24,150,97,271,364,82293,3172,85829
수원시 영통구,252,142049,1961,144262,96,2238,112,2446,65,6833,1484,8382,3,246,141,390,416,151366,3698,155480
성남시 수정구,165,68544,1054,69763,64,2145,208,2417,76,7604,1308,8988,3,183,145,331,308,78476,2715,81499
성남시 중원구,211,63778,2072,66061,56,2274,266,2596,105,9019,1603,10727,17,158,135,310,389,75229,4076,79694
성남시 분당구,186,179148,4494,183828,65,2542,1365,3972,108,7898,2072,10078,11,325,226,562,370,189913,8157,198440
의정부시,258,150674,2189,153121,269,4730,436,5435,205,18328,2879,21412,27,489,268,784,759,174221,5772,180752
안양시 만안구,91,74031,1306,75428,28,2315,918,3261,38,9248,1653,10939,0,186,135,321,157,85780,4012,89949
안양시 동안구,146,111022,2424,113592,122,2275,617,3014,121,9888,3838,13847,11,321,166,498,400,123506,7045,130951
부천시,284,253561,5598,259443,204,7992,1172,9368,211,34585,6093,40889,29,603,563,1195,728,296741,13426,310895
부천시 원미구,0,23,0,23,0,16,0,16,0,41,0,41,0,0,0,0,0,80,0,80
부천시 소사구,0,15,0,15,0,11,8,19,0,29,0,29,0,0,1,1,0,55,9,64
부천시 오정구,0,28,0,28,0,10,0,10,0,42,1,43,0,0,0,0,0,80,1,81
광명시,121,87401,1671,89193,75,2452,448,2975,106,10468,2343,12917,9,206,194,409,311,100527,4656,105494
평택시,352,280838,3741,284931,167,8050,2184,10401,250,35795,7199,43244,23,882,1009,1914,792,325565,14133,340490
동두천시,86,31882,717,32685,43,1260,74,1377,86,5450,688,6224,12,90,53,155,227,38682,1532,40441
안산시 상록구,71,122426,2366,124863,42,4184,639,4865,36,18789,2544,21369,3,410,373,786,152,145809,5922,151883
안산시 단원구,189,134502,2566,137257,163,5247,1152,6562,225,23015,3893,27133,13,367,329,709,590,163131,7940,171661
고양시 덕양구,298,172706,1857,174861,161,4341,345,4847,192,19598,2578,22368,21,401,284,706,672,197046,5064,202782
고양시 일산동구,101,112792,3359,116252,80,2601,754,3435,79,13207,2218,15504,10,337,163,510,270,128937,6494,135701
고양시 일산서구,71,105583,2459,108113,22,2242,517,2781,37,9609,1455,11101,1,216,131,348,131,117650,4562,122343
과천시,458,28749,294,29501,108,542,32,682,123,1907,406,2436,13,64,11,88,702,31262,743,32707
구리시,85,61134,1162,62381,78,1683,298,2059,99,8478,1429,10006,12,174,155,341,274,71469,3044,74787
남양주시,361,266005,2077,268443,201,7648,1091,8940,228,43300,6103,49631,27,1060,479,1566,817,318013,9750,328580
오산시,87,99385,1156,100628,62,2888,548,3498,71,10359,2357,12787,10,282,166,458,230,112914,4227,117371
시흥시,172,222223,1840,224235,108,6742,456,7306,155,37472,6317,43944,21,654,460,1135,456,267091,9073,276620
군포시,125,88360,1015,89500,71,2247,165,2483,93,9157,3927,13177,9,177,258,444,298,99941,5365,105604
의왕시,116,58821,318,59255,97,1373,172,1642,86,5952,2106,8144,9,139,309,457,308,66285,2905,69498
하남시,196,121322,976,122494,94,2675,351,3120,148,15836,2284,18268,10,315,155,480,448,140148,3766,144362
용인시 처인구,380,115662,1580,117622,187,3966,1296,5449,256,21438,4618,26312,22,633,432,1087,845,141699,7926,150470
용인시 기흥구,45,179600,3171,182816,33,3634,669,4336,36,11749,3755,15540,8,477,179,664,122,195460,7774,203356
용인시 수지구,20,143941,732,144693,17,2003,194,2214,23,5062,1419,6504,0,223,38,261,60,151229,2383,153672
파주시,258,204250,2287,206795,101,5698,2648,8447,177,30627,6357,37161,18,624,302,944,554,241199,11594,253347
이천시,201,100375,1030,101606,87,3502,672,4261,127,18810,4284,23221,16,436,529,981,431,123123,6515,130069
안성시,155,89856,712,90723,99,3157,487,3743,135,18987,3262,22384,13,892,283,1188,402,112892,4744,118038
