BM7 BmM7 Gb/Bb F7/A
Abm7
Db
GbM7 BmM7
GbM7/Bb
Ebm7 Gb Gb7(b13)
BM7
Bbm7(b5) Eb7(b13) Eb7
Abm7 BmM7
GbM7/Bb Adim7
Abm11 Db7sus4
GbM7 BmM7
Gb/Bb
Ebm7 Gb Gb7(b13)
BM7
Bbm7(b5) Eb7(b13)
Abm7 BmM7
GbM7/Bb Adim7
Abm11 Db7sus4
Gb
BM7 B6
F7sus4 Daug/E
Eb7sus4 Eb7/Db
Cm7(b5) Db/B
Bbm7 Eb7sus4 Eb7
Abm7 AbmM7 Abm
Db7sus4
Gb
BM7
Fm11 Daug/E
Eb7sus4 Eb7/Db
Cm7(b5) Db/B
Bbm7 Eb7sus4 Eb7
Abm7
Db7sus4
BM7
Gb/Bb Adim7 Abm7
Db7 Db9sus4
GbM7 BM7
GbM7/Bb
Ebm7 Gbaug/Bb
BM7
Bbm7 Eb7(b13)
Abm7 Bm6
Bbm7 Adim7
Abm11 Db7sus4
Abm7 AbmM7 Abm7
Db7sus4 D7sus4
G/B
CM7 C6
F#7sus4 Ebaug/F
E7sus4 E7/D
C#m7(b5) D/C
Bm7 E7sus4 E
Am7
D7sus4
Am7 Abaug Em/G F#7(b13)
E7sus4 Cm/Eb D C#m7(b5)
Am11 D7sus4 D
G
