Eb
F(add9) Dm7
Cm7/G
EbM9
F
Dm7
Cm7
EbM9
F
Dm7
Cm7
EbM7
F
Dm7
Cm
EbM7
F
Dm7
Cm
EbM7
F
Dm7
Cm
EbM7
F
Dm7
Cm
D
EbM7
F
Dm7
EbM9
F
Dm7
Cm7
EbM9
F
Dm7
Cm7
EbM7
F
Dm7
Cm
EbM7
F
Dm7
Cm
Bb
Cm11
Dm7
Cm
Bb
Cm
Dm7
Eb6
Bb
Cm7
Dm7
Gm
Bb
Cm7
Dm7
Gm
Bb
Cm11
Dm7
Gm
Bb
Cm11
Eb6
