KEY,Key_signature
C_Key,&c
F_Key,&b
Bb_Key,&bb
Eb_Key,&bbb
Ab_Key,&bbbb
Db_Key,&bbbbb
Gb_Key,&bbbbbb
B_Key,&#####
E_Key,&####
A_Key,&###
D_Key,&##
G_Key,&#
